date,AK_Fairbanks_11_NE,AK_Sitka_1_NE,AK_St._Paul_4_NE,AK_Utqia?vik_formerly_Barrow_4_ENE,AL_Gadsden_19_N,AL_Selma_13_WNW,AZ_Elgin_5_S,AZ_Tucson_11_W,CA_Merced_23_WSW,CA_Redding_12_WNW,CA_Stovepipe_Wells_1_SW,CO_Boulder_14_W,CO_Cortez_8_SE,CO_Dinosaur_2_E,CO_La_Junta_17_WSW,CO_Montrose_11_ENE,CO_Nunn_7_NNE,FL_Titusville_7_E,GA_Brunswick_23_S,GA_Newton_11_SW,GA_Newton_8_W,GA_Watkinsville_5_SSE,HI_Hilo_5_S,HI_Mauna_Loa_5_NNE,IA_Des_Moines_17_E,ID_Arco_17_SW,ID_Murphy_10_W,IL_Champaign_9_SW,IL_Shabbona_5_NNE,KS_Manhattan_6_SSW,KS_Oakley_19_SSW,KY_Bowling_Green_21_NNE,KY_Versailles_3_NNW,LA_Lafayette_13_SE,LA_Monroe_26_N,ME_Limestone_4_NNW,ME_Old_Town_2_W,MI_Chatham_1_SE,MN_Goodridge_12_NNW,MO_Chillicothe_22_ENE,MS_Newton_5_ENE,MT_St._Mary_1_SSW,MT_Wolf_Point_29_ENE,MT_Wolf_Point_34_NE,NC_Asheville_13_S,NC_Asheville_8_SSW,ND_Medora_7_E,NE_Harrison_20_SSE,NE_Lincoln_11_SW,NE_Lincoln_8_ENE,NE_Whitman_5_ENE,NH_Durham_2_N,NH_Durham_2_SSW,NM_Los_Alamos_13_W,NM_Socorro_20_N,NV_Baker_5_W,NV_Mercury_3_SSW,NY_Ithaca_13_E,NY_Millbrook_3_W,OK_Goodwell_2_E,OK_Stillwater_2_W,OK_Stillwater_5_WNW,ON_Egbert_1_W,OR_John_Day_35_WNW,OR_Riley_10_WSW,RI_Kingston_1_NW,RI_Kingston_1_W,SC_Blackville_3_W,SC_McClellanville_7_NE,SD_Buffalo_13_ESE,SD_Sioux_Falls_14_NNE,TN_Crossville_7_NW,TX_Edinburg_17_NNE,TX_Monahans_6_ENE,TX_Muleshoe_19_S,TX_Palestine_6_WNW,VA_Cape_Charles_5_ENE,WA_Darrington_21_NNE,WI_Necedah_5_WNW,WV_Elkins_21_ENE,WY_Lander_11_SSE,WY_Moose_1_NNE,AL_Courtland_2_WSW,AL_Cullman_3_ENE,AL_Guntersville_2_SW,AL_Valley_Head_1_SSW,PA_Avondale_2_N,AL_Fairhope_3_NE,AL_Russellville_4_SSE,AL_Scottsboro_2_NE,OR_Corvallis_10_SSW,WA_Quinault_4_NE,ND_Northgate_5_ESE,SD_Pierre_24_S,OH_Coshocton_8_NNE,AR_Batesville_8_WNW,TX_Bronte_11_NNE,FL_Everglades_City_5_NE,NM_Las_Cruces_20_N,TX_Panther_Junction_2_N,AL_Clanton_2_NE,AL_Gainesville_2_NE,AL_Greensboro_2_WNW,AL_Selma_6_SSE,NC_Durham_11_W,VA_Charlottesville_2_SSE,AL_Muscle_Shoals_2_N,MO_Joplin_24_N,MO_Salem_10_W,MN_Sandstone_6_W,SD_Aberdeen_35_WNW,MT_Dillon_18_WSW,WA_Spokane_17_SSW,UT_Brigham_City_28_WNW,WY_Sundance_8_NNW,CA_Yosemite_Village_12_W,MI_Gaylord_9_SSW,IN_Bedford_5_WNW,UT_Torrey_7_E,TX_Port_Aransas_32_NNE,FL_Sebring_23_SSE,AL_Brewton_3_NNE,AL_Thomasville_2_S,AL_Troy_2_W,MS_Holly_Springs_4_N,TX_Austin_33_NW,AZ_Yuma_27_ENE,CA_Fallbrook_5_NE,AZ_Williams_35_NNW,CA_Bodega_6_WSW,NV_Denio_52_WSW,MT_Lewistown_42_WSW,ND_Jamestown_38_WSW,CA_Santa_Barbara_11_W,OR_Coos_Bay_8_SW,AL_Highland_Home_2_S,AL_Talladega_10_NNE,AL_Northport_2_S,CO_Akron_A_4_E,CO_Eads_16_ENE,CO_Grand_Junction_9_W,CO_Saguache_2_WNW,CO_Stratton_24_N,AZ_Holbrook_17_ESE,NM_Carrizozo_1_W,NM_Reserve_1_W,UT_Tropic_9_SE,AK_Sand_Point_1_ENE,AK_Port_Alsworth_1_SW,CO_Rocky_Ford_1_ESE,CO_Center_A_4_SSW,NM_Taos_27_NW,AZ_Cameron_25_SSE,AZ_Heber_3_SE,NM_Clovis_7_N,AZ_Bowie_23_SSE,AZ_Coolidge_5_W,AZ_Camp_Verde_3_N,AZ_Phoenix_7_S,CO_Kim_9_WSW,CO_Springfield_6_WSW,NM_Clayton_3_ENE,NM_Mills_6_WSW,NM_Raton_26_ESE,NM_Santa_Fe_20_WNW,CO_Colorado_Springs_23_NW,CO_Genoa_35_N,CO_Woodland_Park_14_WSW,NM_Artesia_2_WNW,NM_Mountainair_2_WSW,NM_Socorro_17_WSW,CO_Buena_Vista_2_SSE,CO_Craig_30_N,CO_Eagle_13_SSE,CO_Meeker_15_W,CO_Rifle_23_NW,UT_Midway_3_NE,UT_Provo_22_E,AK_Kenai_29_ENE,AK_Red_Dog_Mine_3_SSW,AZ_Kayenta_16_WSW,AZ_Page_9_WSW,AZ_Tsaile_1_SSW,NM_Aztec_43_E,NM_Grants_2_S,NM_Vaughn_36_SSE,UT_Blanding_26_SSW,UT_Bluff_32_NW,UT_Cedar_City_18_SSE,UT_Delta_4_NE,UT_Mexican_Hat_10_NW,UT_Milford_42_WNW,UT_Monticello_24_NW,UT_St._George_15_NE,AZ_Ajo_29_S,AZ_Amado_23_W,AZ_Gila_Bend_3_ENE,AZ_Lake_Havasu_City_19_SE,NM_Hagerman_10_ESE,NM_Nageezi_18_SSW,NM_Ramah_9_SE,SA_Tiksi_4_SSE,AZ_Safford_5_NNE,AZ_Whiteriver_A_1_SW,NM_Elida_14_SW,NM_Las_Vegas_6_NE,OK_Goodwell_2_SE,AK_Tok_70_SE,AZ_Fredonia_7_SSE,AZ_Kingman_8_NE,AZ_Meadview_7_N,NM_Hachita_7_ESE,UT_Beaver_15_E,UT_Grantsville_12_WNW,UT_Manila_18_ESE,UT_Price_3_E,UT_Spanish_Valley_25_SW,UT_Vernal_23_SSE,NM_Pinon_8_SSE,AK_Gustavus_2_NE,AK_Metlakatla_6_S,AK_King_Salmon_42_SE,AK_Glennallen_64_N,AK_Ivotuk_1_NNE,AK_Deadhorse_3_S,AK_Ruby_44_ESE,AK_Denali_27_N,AK_Selawik_28_E,AK_Yakutat_3_SSE,OH_Wooster_3_SSE,AK_Cordova_14_ESE,AK_Toolik_Lake_5_ENE,AK_Bethel_87_WNW,AK_Aleknagik_1_NNE
12/22/2009 00:00:00,0,0,0,0,0,0,0,5.7,0,0,0.6,1.6,11,4.6,0,1,7.8,0,0,0,0,0,0,0,0,10.8,0.2,3,8.7,0,0,0,0,0,2.2,11.5,0.6,0,0,0,0,1.1,0,0,0,,0,0.3,0,0.2,0,0,0,3.2,0,11.8,2.4,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0.6,0,0,0,0,0.2,0,0.7,2.3,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0.5,1.9,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,1.5,0,2.3,0,5.4,0,0.2,0.3,0.4,0,0,0,0,0,0,0,2.3,17.1,0,1,0,0,0,4.2,0,0,0,0,1.6,2.5,0,0,0.2,0.5,5.4,8,7.6,0.3,0.4,0,0.6,1.8,11.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/23/2009 00:00:00,0,3.7,0,0,0,0,11.6,0,0,0,0,8.1,0,0.2,2.3,3.8,6.2,0,0,0,0,0,0,0,9.6,0,0,13.5,10.8,14.6,5.2,0,0,1.8,34.3,10.7,1.5,0,0,7.7,0.5,2.8,3.5,5,0,,6.8,4,11.4,14.7,0,0,0,7.8,1.3,0,0,0.3,0,0.2,0,0,0.2,0,0,0,0,0,0,4.6,6.4,0,0,2.3,10,21.4,0,0,4.7,0,4.3,0,0.4,0,0,0,0,0.8,0,0,0,0.6,2.8,3.8,0,48.1,13.9,1.4,2.6,0,0,0,0,0,0,0,0,8.6,3.2,3.3,5.2,0,0,0,9.1,0,0,0.3,0,0.4,0,0,0,0,5.8,0,0,0,0.4,0,0,3,5.3,0,0,0,0,0,2.5,7.8,0.4,0,2.5,2.5,5.4,0.4,0,4.6,0,3.4,0,0,0,2.2,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/24/2009 00:00:00,0,6.1,0.4,0,35.1,40.1,0,0,0,0,0,0.6,0,0,0,0.4,0,1.7,0.5,8.9,12.8,3.2,0.2,0,15.8,0,0,28.7,30.4,3.8,0,2.8,1.3,27.5,92.4,0,0.3,2.9,10.2,15,28.2,0,0,0,5.8,,0.8,0,5.6,12.8,0,0,0,0.2,0,0,0,0,0,0,20.3,18.1,0,0,0,0,0,0,2.4,0,6,1.8,0,0.6,7.7,1.4,0,0,12.3,0,0,0,23,27.9,28.7,23.6,0,33.8,27.7,20.8,0,0.6,0,1.7,0,91.6,6.3,0,0,0,47.5,36.8,31,38.6,0,0,24.8,20.8,19.1,13.4,3.3,0,0,0,0.3,0,0.3,2.9,0,1,0,46.4,29.3,38.2,28.9,3.9,0,0,0,0,0,0,1.9,0.4,0,32.6,30.7,25.3,0,0,0,0,0,0,0,0,0,10.6,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/25/2009 00:00:00,1.3,7.3,0,0,7.4,0,0,0,0,0,0,2.7,0,0,0,0,0,2.9,1,37,24.5,48.1,0,0,12.7,0,0,7.7,8.2,0.5,0,7.6,4.3,0,0,0,0,14.2,19,10.1,0,0,0,0,62.7,,8.9,4.5,11.2,14.8,0,0,0,0,0,0,0,6.1,3.5,0,0,0,2.6,0,0,0,0,60.9,14,0.7,12.8,13.2,0,0,0,0,21.3,0,17.5,5,4.7,0,6.4,0.7,0.5,15,9.3,0,0.5,3.7,0,0,0,0,16.3,0,0,14,0,0,0,0,0,0,34.2,35.4,1,7.1,1.8,18.7,14.2,0,0,0,20.1,0,8.5,5.9,0,0,0.5,0,0,1,1,0,0,0,0,0,0,0,14.1,0.2,0,0.3,2.1,0,0,0,0,0,0,0,0,0,0,2.8,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/26/2009 00:00:00,0,17.5,0,0,0,0,0,0.2,5,0.3,0,1.7,0,0,0,0,0,0,0,0,0,0,0.9,0,2.1,0,0,1.7,5.6,,0,0,0,0,0,0,0.3,2.9,3.8,0,0,0,0,0,0,,3.4,0,2.9,2.4,0,1.9,2,0,0,0,0,5,7.7,0,0,0,6,0,0,1.9,2,0,0,1.4,3.5,0,1.1,0,0,0,18.2,0,1.3,0.4,2.5,0,0,0,0,0,33.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0,4.8,2.9,0,0,0,20.1,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,5.9,0,0,4.2,0,0.7,0,0,0,0.2,0,0,0,0,0,0,0,0,3.8,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/27/2009 00:00:00,0,4.5,0,0,0,0,0,0,1.5,5.2,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,3.3,0,0,4.5,2.4,,0,0,0.2,0,0,12.4,8.2,3.2,0.3,1.6,0,0,0,0,0,,0,0,0.5,0.3,0,30.5,27.4,0,0,0,0,1.4,8,0,0,0,0,0.8,1.3,14.1,12.8,0,0.5,2.8,0.2,0,0,0,0,0,0,0,0.3,0.4,0,0,0,0,0,0,0,0,0,0,0.9,0,0.3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,2.6,0,0,0,0.7,7.9,0.2,2.4,0,0,0,0,0,0,0,0,0,0,0,0.3,0.2,0,3.9,0.3,1.4,0,0,0,0,0,0,0,0,0,0,0,0,7.8,0.4,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/28/2009 00:00:00,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,,0,0,0,0,0,1.8,6.2,5.7,0,0,0,0,0,0,0,,0,0,0,0,0,3.3,3,0,0,0,0,4.7,0.7,0,0,0,3.4,0,0,2.2,2.3,0,0,0,0,0,0,0,0,0,0,0.3,0,6.8,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0.2,0,1,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,21.5,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/29/2009 00:00:00,0,0,2,0,0,0,0,0,0.4,12,0,0,3.1,1.1,0,3.2,0,0,0,0,0,0,3.3,0,0,0,0.7,0,0,,0,0,0,0,0,3.4,14.2,0.9,0,0,0,0,0,0,0,,0,0,0,0.2,0,0,0,0.5,0.9,0.3,0,0.6,0,0.3,2.6,2.5,0,0.2,2.9,0,0,0,0,0,0,0,3.9,5,5.5,1.5,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,10.2,7.5,0,0,0,0,6.7,0,5.8,2.1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,8.8,0,0,0,0,0,10.5,0,0,0,14,3.6,0,0,0.3,16.3,0,0,0,0,0,2.2,0,0,0,1.6,0,1.1,11.5,0,0,0,0,0,0,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/30/2009 00:00:00,0,0,0,0,3.4,13.1,0,0,0,0,0,1.9,12.6,1.6,0,5.3,0,0,0,0.2,0,1.4,0,0,3.1,3.7,0.5,0.8,1.6,,0,3,2.7,41.5,14.2,0,0,1.2,0,3.9,12.2,0.3,0,0,2.5,1,0,0,0.9,1.3,0,0,0,5.2,0,0.2,0,0,0,0,0,0.2,0,0,0,0,0,8.2,2,0,0,6,0,0,0,1.2,0,8.3,2.6,0,0,2.6,15.8,3,3,2.4,0,17.3,5.4,4.3,8,22.5,0,0,0,0,0,0,0,0,12.1,10.7,9.7,8.7,1.5,0,9.4,2.3,0.7,0.4,0,0.3,1.2,4.7,0,5.2,0.9,1.3,0.9,6.3,0,11.6,14.4,9.6,12.7,0,0,3.6,1.1,0,2.4,0,0,2.7,0,8.6,5.2,7.8,0,0,2.1,0.2,0,4.3,1.1,0,1.3,2.8,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2009 00:00:00,0,0,0,0,1.7,0,0,0,0,6.7,0,0,0,0,0,0.2,0,0,3.6,5.8,5.8,1.3,0,0,0,0,5.4,0.3,0.4,,0,1.6,2,0.5,8.2,0,1.6,2.1,0,0,0.2,5.3,0.3,0.2,0.5,0.2,0.3,0,0,0,0,1,2.2,0.8,0,0,0,6.8,3.9,2.5,0,0,0.9,2.1,5.7,6,6,1.8,9.4,2.3,0,8,0,0,0.8,1.2,12.5,11.6,0.2,7,0,2.3,10.2,1.5,1,1.5,7.6,1.7,3,2.5,32.4,34.3,0,0,4.4,0,0,0,0,0,0,0,0.2,0,3.2,1.8,4.6,0,0,0,0,0,4.5,1.2,1.7,0,2.4,1.7,0,0,0,0,0,0.8,1.2,0,0,0,0,0.5,0.2,0.5,0,0.3,23.4,0,3.2,0,0,0.3,0,0,0,0,0,0,0,1,0,0,0,0.3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/01/2010 00:00:00,0,0,0,0,0,1.2,0,0,0,16.5,0,0.2,0,0,0,0,0,17.8,2.8,0,0.4,0,0,0,0,13.3,7.9,0,0,,0,0,0,0.5,0,2.2,5.4,4.4,0,0.2,2,0.7,0,0,0,0,0,0,0,0,0,0.8,0.4,0,0,0,0,4,0,0,0,0,4.8,0.3,1.1,1.1,1.3,0,1.1,0.6,0,0,0,0,0,0,0.2,33,0,4.2,0,7.1,0,0.2,0,0,1,0.9,0,0,8.4,73.6,0,0.4,0.4,0,0,10.8,0,0,0.3,1.4,0.4,1.3,0,0,0,0.4,,0,0,1.1,5.3,4.5,0,0,1.4,0,0,0,22.1,0.6,2.4,1.3,0,0,0,0,0,7.2,0.5,0,0,0.4,4.3,1.3,0.2,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2010 00:00:00,0,1.7,0,0,0,0,0,0,0,0,0,4,0,0.5,0,0.3,0,0,0,0,0,0,0,0,0,4.6,0,0,0,,0,0,0,0,0,13.5,22.1,8,0,0,0,1.3,0.6,0.4,0,0,2.7,0,3.8,3.8,0,7.8,7.1,0,0,0,0,0.9,3.3,0,0,0,0,0,0,6.9,6.8,0,0,1,0,0.2,0,0,0,0,0,17.2,0,4.8,0,7.2,0,0,0,0,0,0,0,0,0.7,29.7,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0.7,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/03/2010 00:00:00,0,0.3,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.3,0,0,0,0,0,0.2,0,0,0,0,0,0,,0,0,0,0,0,0.6,6.4,3.1,0,0.4,0,0,0,0,0,0,1.3,0,1.1,2.1,0,2.7,2.2,0,0,0,0,0.4,5.4,0,0,0,0,0,0,2.2,0.4,0,0,0,0,0,0.5,0,0,0,0,2.6,0,0.5,0,0,0,0,0,0,0,0,0,0,0,3.2,0.5,0.6,0,4.4,0,0,0,0,0,0,0,0,0,0,0,5.8,0.6,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,30.4,2.7,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2010 00:00:00,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0.5,0.4,4.4,0,0,0,5.2,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0.3,0.7,0,0,0,0,0,0.5,0,0,0,0,0,0,0,24.6,0,1,0,0.6,0,0,0,0,0,0,0,0,0.8,34,0,0,2.2,0.3,0,0,0,0,0,0,0,0,0,0,0,0,,0,0.3,0.9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,27.3,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/05/2010 00:00:00,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.6,0,0,0,1.1,0.6,0,0,0,3.2,8.1,5.3,0,0,3.6,0,0,0,0,0.2,0.3,0,0,0,0,0.8,0,0,0,0,1.2,9.4,2.1,0,0,0,0,1.2,0,0,0,0,0,0,0,8.1,0,0,0,11.6,0,0,0,0,0,0,0,0,7.8,5.2,3.7,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1.6,0,6.1,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0.4,20,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/06/2010 00:00:00,0,3.2,0,0.7,0,0,0,0,0,0.4,0,9.9,0,0,0,0,0.2,0,0,0,0,0,0,0,3.4,0,0,2.7,0.7,,1.6,0,0,0,0.7,0.5,0,0,0.3,9,0,0,0,0.3,0,0,0.8,0.8,4.2,5.2,0,0,0,0,0,0,0,0.5,0,0,0,0,0.2,7.9,4.7,0,0,0,0,0,8.8,0,0,0,0,0.2,0,0,0,0,0.9,3.1,0,0,0,0,0,0,0,0,3.6,0.5,1.8,2.1,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.3,4.1,0,6.4,0.4,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0.2,6,0.4,4.9,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/07/2010 00:00:00,0,3,0,0,1.1,5.8,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.2,1,0,0,1.9,0,0,8.6,7.8,,0,4.7,3.9,13.6,6.8,0,0,0.3,0,1,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0.5,0,0,0,0,0,0,0.2,0,0,0,0,0,1.2,2.4,0,0,0,0,0,0,7.6,0,0,0,,1,0.7,2.3,0,6.5,1.1,1.8,1,12.9,0,1,4.6,0,0,0,0,0,3.6,3.5,4.5,4.6,0,0.4,0.9,1,1,0.2,0,0.2,0,0,0,0,0,7.4,0,5.5,0,5.4,6.2,2.5,1.9,0,0,0,0,0,0.5,0,0,0.3,2.2,3.3,0.7,0.4,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/08/2010 00:00:00,0,7.9,0,0,0,0,0,0,0.3,2.7,0,0,0,0,0,0,0,0,0,2.7,3,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,1.1,0,0,0,0,3,2,0,0,0,0.4,0,0,0.4,0.5,0,1.1,0,0,0,0,0.9,0,0,1.8,17,0,0.6,0,0,0,0,0,0,1.4,0,0,0,5.9,70.2,1.1,0.9,1.4,0,0,0,2.3,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0.4,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0.5,4.9,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/09/2010 00:00:00,0,0.4,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,,0,0.2,0.5,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0.2,0,0,0,0,0,0,0,0,0,0,0,7.9,0,0.7,0,0,0,9.1,0,0,0,0,0,0,0,0,0,0,,0,2.2,0,1.8,0,0,1.8,0,0,0,0,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/10/2010 00:00:00,0,4.7,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0.2,0,0,0,0,0,0,0,0,0,0,0,10.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.2,0,0,0.4,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/11/2010 00:00:00,0,31.9,0,0.2,0,0,0,0,0,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0.7,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,26.8,0,0.4,0,0,0,0,0,0,0,0,0,0,2.7,93.5,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,11.7,0,0,0,0.5,22.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/12/2010 00:00:00,0,9.3,0,1.6,0,0,0,0,1.4,70.2,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0.7,1.1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0.3,0,0.7,0,0,0,0,0,0,0,0.8,0,0,0,0,14.8,0,0,0,0.2,0,0,0,0,0,,0,0,20.8,37.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0.3,0,5.4,0,0,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,2.2,0,0,1.8,33.1,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
